x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.5918367346938775,0.14285714285714285,-0.1584671218094914,-0.17106817737507318,0.01,7.95
-0.5918367346938775,0.1836734693877551,-0.14110367638030913,-0.14740456782463107,0.01,4.47
-0.5918367346938775,0.22448979591836735,-0.11339070992209062,-0.11782505588657814,0.0,3.91
-0.5918367346938775,0.2653061224489796,-0.07581578043321915,-0.08232964156091456,0.01,8.59
-0.5918367346938775,0.30612244897959184,-0.03988613167172327,-0.040918324847639846,0.0,2.59
-0.5918367346938775,0.3469387755102041,0.004627790523994961,0.006408894253244779,0.0,38.49
-0.5918367346938775,0.3877551020408163,0.057990521773996516,0.05965201574174,0.0,2.87
-0.5918367346938775,0.42857142857142855,0.11639752113105686,0.11881103961784616,0.0,2.07
-0.5918367346938775,0.46938775510204084,0.17671947851413902,0.18388596588156297,0.01,4.06
-0.5918367346938775,0.5102040816326531,0.2376650289830637,0.25487679453289025,0.02,7.24
-0.5918367346938775,0.5510204081632653,0.3155967634038497,0.3317835255718284,0.02,5.13
-0.5918367346938775,0.5918367346938775,0.3919828424564633,0.41460615899837655,0.02,5.77
-0.5918367346938775,0.6326530612244898,0.47630333153872284,0.5033446948125356,0.03,5.68
-0.5918367346938775,0.673469387755102,0.5657426111084649,0.5979991330143055,0.03,5.7
-0.5918367346938775,0.7142857142857143,0.6612991810558535,0.6985694736036852,0.04,5.64
-0.5918367346938775,0.7551020408163265,0.7615077336490736,0.8050557165806762,0.04,5.72
-0.5918367346938775,0.7959183673469388,0.8624056532245549,0.9174578619452779,0.06,6.38
-0.5510204081632653,-0.7959183673469388,0.8325022633033383,0.8798884818400494,0.05,5.69
-0.5510204081632653,-0.7551020408163265,0.7342523235809381,0.7752382085695587,0.04,5.58
